id,lat,lng,timestamp
000,39.984702,116.318417,2008-10-23 02:53:04
000,39.984683,116.31845,2008-10-23 02:53:10
000,39.984686,116.318417,2008-10-23 02:53:15
000,39.984688,116.318385,2008-10-23 02:53:20
000,39.984655,116.318263,2008-10-23 02:53:25
000,39.984611,116.318026,2008-10-23 02:53:30
000,39.984608,116.317761,2008-10-23 02:53:35
000,39.984563,116.317517,2008-10-23 02:53:40
000,39.984539,116.317294,2008-10-23 02:53:45
000,39.984606,116.317065,2008-10-23 02:53:50
181,40.9166,111.713166666667,2008-03-14 03:32:03
181,40.91595,111.713516666667,2008-03-14 03:33:07
181,40.9156,111.712933333333,2008-03-14 03:34:26
181,40.9157666666667,111.712066666667,2008-03-14 03:36:49
181,40.9154333333333,111.71145,2008-03-14 03:38:04
181,40.9148666666667,111.7105,2008-03-14 03:39:56
181,40.9142666666667,111.710333333333,2008-03-14 03:41:17
181,40.9124666666667,111.710666666667,2008-03-14 03:43:02
181,40.9115166666667,111.711316666667,2008-03-14 03:43:28
181,40.9109333333333,111.711616666667,2008-03-14 03:43:40
